Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
1.07231,110.09,LPN-NPP,05:01:19 AM,20160801,LAPAN,KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SUNGKUNG,
-0.466256,117.59,LPN-NPP,17:21:17 PM,20160728,LAPAN,KALIMANTAN TIMUR,KUTAI KARTANEGARA,MUARA BADAK,SELIKI,
-2.57971,121.376,LPN-NPP,16:30:40 PM,20160720,LAPAN,SULAWESI SELATAN,LUWU TIMUR,NUHA,MAGANI,
4.15408,117.169,LPN-NPP,05:26:23 AM,20160720,LAPAN,KALIMANTAN UTARA,NUNUKAN,NUNUKAN,NUNUKAN BARAT,
-9.41397,119.656,LPN-NPP,05:26:23 AM,20160720,LAPAN,NUSA TENGGARA TIMUR,SUMBA BARAT,UMBU RATU NGGAY,NGADA BOLU,
0.150001,100.671,LPN-NPP,06:24:33 AM,20160717,LAPAN,SUMATERA BARAT,LIMAPULUHKOTO,PANGKALAN KOTO BARU,PANGKALAN UTARA,
0.825675,111.183,LPN-NPP,05:38:55 AM,20160714,LAPAN,KALIMANTAN BARAT,SINTANG,KETUNGAU HULU,SUAK MEDANG,
-9.67161,119.59,LPN-NPP,05:25:55 AM,20160618,LAPAN,NUSA TENGGARA TIMUR,SUMBA BARAT,KATIKUTANA,MANURARA,TN MANUPEU TANADARU
-2.57567,121.384,LPN-NPP,05:08:10 AM,20160603,LAPAN,SULAWESI SELATAN,LUWU TIMUR,NUHA,SOROAKO,
0.714403,102.856,LPN-NPP,18:18:20 PM,20160506,LAPAN,RIAU,SIAK,KECAMATAN SUNGAI APIT,TELUK LANUS,
